index,name,emailAddress,anonId,contactKey,contactId,daysFirstSeen,daysJoined
1,kpool,kpool.10000.0000@hotmail.marketingclouddemo.com,3e8f6d4626336ae23d57c6f4fc8235f8,100000000,0014T000006uYBBQA2,125,106
2,eroberge,eroberge.10000.0001@hotmail.marketingclouddemo.com,d8e55309319e4a2c88f970f9f964a250,100000001,00ba790008c0bb4bdf,349,258
3,dcastellanos,dcastellanos.10000.0002@yahoo.marketingclouddemo.com,bc09f9b9e2915b93c16cf60f191b96f1,100000002,008c279e10a01949a8,270,121
4,mshepherd,mshepherd.10000.0003@yahoo.marketingclouddemo.com,bc1c3006444512c2b785ebdbede8e097,100000003,002016d0710ede47c0,297,78
5,lsantos,lsantos.10000.0004@gmail.marketingclouddemo.com,4f41e31aefa30ec179b793a5dc75852d,100000004,003cc615fe948742cc,306,288
6,blafleur,blafleur.10000.0005@gmail.marketingclouddemo.com,9ad704278c8109db018805760996f621,100000005,004e6df7ad208c4851,72,45
7,mkelley,mkelley.10000.0006@hotmail.marketingclouddemo.com,a46e3f830053e217029a2031acc1b96f,100000006,00cce55a590ea94ed5,186,169
8,mgalindo,mgalindo.10000.0007@hotmail.marketingclouddemo.com,92d0c833ffc3b9c289fe08d4cfdb23f5,100000007,00a4d8dddc690147b1,248,22
9,eferrell,eferrell.10000.0008@hotmail.marketingclouddemo.com,8117ebb1ad8d4e94e5fa3f8bfaa35602,100000008,0015dff9ba85a448c2,131,74
10,jdrummond,jdrummond.10000.0009@gmail.marketingclouddemo.com,925707bcd7f60fa159280196af9c7bf6,100000009,00fb00bb08ba29479e,63,22
11,nluther,nluther.10000.0010@gmail.marketingclouddemo.com,24ccca408c09192bb57ce9e4d9338399,100000010,0041ab5182691c4239,67,58
12,fbearden,fbearden.10000.0011@comcast.marketingclouddemo.com,7d081752c2fe5d2b31e3c6f23c0c68c5,100000011,00b46430b10115425d,300,32
13,bplante,bplante.10000.0012@gmail.marketingclouddemo.com,9d5061dd3d70a31bf32bdf852e79a1b2,100000012,004b806d6417734c77,208,170
14,dfrazer,dfrazer.10000.0013@gmail.marketingclouddemo.com,0376164bbb137735b8b5d0b2651c0b6e,100000013,008714f78f20bf4bff,288,145
15,dhooper,dhooper.10000.0014@hotmail.marketingclouddemo.com,7f68a2d9427f36239e4ca9922a9bce51,100000014,0065a071a0ffe84386,45,9
16,clee,clee.10000.0015@hotmail.marketingclouddemo.com,d1c84fea13f714887689d5b8c7e54caf,100000015,00e3caee549b5e496e,88,10
17,gscanlon,gscanlon.10000.0016@yahoo.marketingclouddemo.com,158e2696934e1bdb93cadbf8816eadaa,100000016,00be7563ba3c6d44d4,150,100
18,jhobson,jhobson.10000.0017@gmail.marketingclouddemo.com,2bbd474a03c570811b32f76d32744b5b,100000017,002f02d16d483c426f,271,260
19,cskaggs,cskaggs.10000.0018@gmail.marketingclouddemo.com,b11f93e683a0b90bd258b53f5221d75c,100000018,00d2b0f9d422c644fd,228,19
20,fgreco,fgreco.10000.0019@gmail.marketingclouddemo.com,2fe01bf17eb7ad3e7a4a4f3c36c1718d,100000019,000de7acf999e542e9,41,4
21,alindsay,alindsay.10000.0020@hotmail.marketingclouddemo.com,2151c7e7c527aa59e01c9dbdcb43f51e,100000020,0059c5224444464be4,21,15
22,dsimms,dsimms.10000.0021@yahoo.marketingclouddemo.com,805f32cf45c30bf0144697b9738a18a9,100000021,0086383b1f26dc4ec7,42,6
23,rgriggs,rgriggs.10000.0022@hotmail.marketingclouddemo.com,f73be7ebed616f2484ddf5df2d1723a6,100000022,003b46d2b1dd944f91,75,30
24,eyarbrough,eyarbrough.10000.0023@yahoo.marketingclouddemo.com,16438e9023fb030a7b95720c79e2d6eb,100000023,00df88d64285384abe,292,269
