index,name,emailAddress,anonId,contactKey,daysFirstSeen,daysJoined
1,Rachel Morris,rachel.morris@mctest.io,1q5bgovynd,00252eeda774b84353,30,7
2,Lauren Bailey,lauren.bailey@mctest.io,191tv8mrqs,007ef63da54e1f49ea,21,13
3,Larry Baxter,larry.baxter@mctest.io,13c7noayen,00a0fc06a1255140f4,29,14
4,Ron Abelin,ron.abelin@mctest.io,1ebmrbrtyn,0048c48fb6475a45d4,40,4
5,Rosa Abelin,rosa.abelin@mctest.io,1mhcz1seky,006b79a511e7a14bd9,49,6
6,Bob Hodges,bob.hodges@mctest.io,1mp8rlvxv7,0091a7b922844d49d3,59,9
7,Mark Kingston,mark.kingston@mctest.io,1dbw2khbxb,007ebbc8ce734a41c1,5,3
8,Mark Metz,mark.metz@mctest.io,135qsrdmu9,00442cf998a3c34b63,6,6
9,Daniela Haas,daniela.haas@mctest.io,15t5hfxdoq,0030d67e90b8f04b20,26,11
10,Peter Schmid,peter.schmid@mctest.io,1hhe6nyahg,00d5dca54a0f974610,38,9
